Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,Season
57,Andrea Belotti,it ITA,FW,Torino,22,1993,35,34,"3,070",34.1,26,7,33,24,2,5,5,0,0.76,0.21,0.97,0.7,0.91,Matches,2016-2017
58,Ahmad Benali,ly LBY,"FW,MF",Pescara,24,1992,33,31,"2,490",27.7,6,2,8,6,0,0,6,1,0.22,0.07,0.29,0.22,0.29,Matches,2016-2017
59,Marco Benassi,it ITA,MF,Torino,21,1994,28,24,"2,044",22.7,5,3,8,5,0,0,5,0,0.22,0.13,0.35,0.22,0.35,Matches,2016-2017
60,Medhi Benatia,ma MAR,DF,Juventus,29,1987,15,14,"1,179",13.1,1,0,1,1,0,0,3,0,0.08,0,0.08,0.08,0.08,Matches,2016-2017
61,Accursio Bentivegna,it ITA,FW,Palermo,20,1996,3,2,89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
62,Domenico Berardi,it ITA,"FW,MF",Sassuolo,21,1994,21,20,"1,732",19.2,5,9,14,3,2,3,6,0,0.26,0.47,0.73,0.16,0.62,Matches,2016-2017
63,Bartosz Bereszyński,pl POL,"DF,FW",Sampdoria,24,1992,13,11,"1,051",11.7,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,2016-2017
64,Etrit Berisha,al ALB,GK,Atalanta,27,1989,26,26,"2,340",26,0,0,0,0,0,0,2,0,0,0,0,0,0,Matches,2016-2017
65,Federico Bernardeschi,it ITA,"DF,FW",Fiorentina,22,1994,32,27,"2,292",25.5,11,4,15,8,3,4,5,1,0.43,0.16,0.59,0.31,0.47,Matches,2016-2017
66,Andrea Bertolacci,it ITA,MF,Milan,25,1991,15,9,820,9.1,1,0,1,1,0,0,3,0,0.11,0,0.11,0.11,0.11,Matches,2016-2017
67,Jonathan Biabiany,fr FRA,"FW,MF",Inter,28,1988,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
68,Roberto Biancu,it ITA,MF,Cagliari,16,2000,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2016-2017
