S,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,Season
171,Fernando,br BRA,MF,Sevilla,33,1987,31,28,"2,546",28.3,3,4,7,3,0,0,6,0,1.5,1.5,3,4.5,17,112,22,0.11,0.14,0.25,0.11,0.25,0.05,0.11,0.16,0.05,0.16,Matches,2020-2021
172,David Ferreiro,es ESP,"MF,FW",Huesca,32,1988,37,29,"2,527",28.1,2,4,6,2,0,0,5,0,1.8,1.8,5.9,7.6,68,113,182,0.07,0.14,0.21,0.07,0.21,0.06,0.21,0.27,0.06,0.27,Matches,2020-2021
173,Facundo Ferreyra,ar ARG,FW,Celta Vigo,29,1991,13,2,300,3.3,1,0,1,1,0,0,5,1,1.5,1.5,0,1.5,1,2,10,0.3,0,0.3,0.3,0.3,0.46,0,0.46,0.46,0.46,Matches,2020-2021
174,Fidel,es ESP,"MF,DF",Elche,30,1989,30,28,"2,396",26.6,6,3,9,4,2,3,8,0,4.3,1.9,5,7,82,97,123,0.23,0.11,0.34,0.15,0.26,0.16,0.19,0.35,0.07,0.26,Matches,2020-2021
175,Junior Firpo,do DOM,"DF,MF",Barcelona,23,1996,7,3,289,3.2,1,1,2,1,0,0,2,0,0.7,0.7,0.8,1.4,8,7,22,0.31,0.31,0.62,0.31,0.62,0.21,0.24,0.45,0.21,0.45,Matches,2020-2021
176,Kingsley Fobi,gh GHA,DF,Granada,21,1998,1,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
177,Ramón Folch,es ESP,MF,Elche,30,1989,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2020-2021
178,José Fontán,es ESP,DF,Celta Vigo,20,2000,14,7,652,7.2,0,0,0,0,0,0,3,1,0.7,0.7,0,0.7,12,27,11,0,0,0,0,0,0.1,0,0.1,0.1,0.1,Matches,2020-2021
179,Dimitri Foulquier,fr FRA,DF,Granada,27,1993,32,32,"2,663",29.6,0,4,4,0,0,0,7,0,0.8,0.8,1.5,2.3,49,63,68,0,0.14,0.14,0,0.14,0.03,0.05,0.08,0.03,0.08,Matches,2020-2021
180,Juan Foyth,ar ARG,"DF,MF",Villarreal,22,1998,16,13,"1,168",13,0,0,0,0,0,0,6,0,0.2,0.2,0.1,0.3,19,52,7,0,0,0,0,0,0.02,0.01,0.03,0.02,0.03,Matches,2020-2021
181,Jorge de Frutos,es ESP,MF,Levante,23,1997,37,22,"2,186",24.3,4,9,13,4,0,0,3,0,3.4,3.4,4.4,7.8,73,74,204,0.16,0.37,0.54,0.16,0.54,0.14,0.18,0.32,0.14,0.32,Matches,2020-2021
182,Ramiro Funes Mori,ar ARG,DF,Villarreal,29,1991,10,8,727,8.1,0,0,0,0,0,0,1,0,1,1,0,1,19,25,3,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,2020-2021
183,Javi Galán,es ESP,DF,Huesca,25,1994,37,34,"3,065",34.1,1,2,3,1,0,0,5,0,0.3,0.3,4,4.2,94,100,167,0.03,0.06,0.09,0.03,0.09,0.01,0.12,0.12,0.01,0.12,Matches,2020-2021
